Country,Continent,Animal fats,Cereals - Excluding Beer,Fish Seafood,Fruits - Excluding Wine,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Animal products total,Deaths
Tunisia,Africa,2.6543,3.2543,0.5085,0.4068,0.0102,4.5764,0.0915,1.4085,0.2034,0.3407,0.0407,0.3,2.3289,37.2114,28.1552,0.7627,27.3,17.7464,0.060205111
Turkey,Europe,2.9392,2.0428,0.1428,0.3292,0.0079,5.8586,0.0674,1.7453,0.3808,0.3729,0.0516,0.0912,2.8162,36.3175,27.8172,0.6703,32.2,18.3491,0.031867633
Turkmenistan,Asia,6.4856,2.9938,0.1274,0.3069,0.0347,7.4411,0.0521,0.3938,0.0405,0.0058,0.0521,1.0829,0.1969,17.3085,11.761,0.4459,17.5,51.271,
Uganda,Africa,0.9627,3.4479,0.862,0.7164,0.0112,4.0188,0.1343,6.5599,1.0411,0.0336,0.5709,0.1008,0,37.6917,25.0532,0.1567,4.1,18.6388,0.000714895
Ukraine,Europe,5.494,3.0837,0.516,0.3084,0.0063,8.691,0.1196,0.1007,0.0629,0.0378,0.2266,0.4972,0.7867,23.09,17.4638,0.5223,26.1,38.9931,0.059205802
United Arab Emirates,Asia,4.0036,3.0418,0.8108,0.6766,0.1006,5.86,0.1677,3.204,1.0624,1.1295,0.0168,0.1454,3.8246,28.5563,14.924,0.4306,29.9,32.0454,0.009347515
United Kingdom,Europe,4.2615,1.4678,0.5176,0.4219,0.078,7.353,0.0745,1.1664,0.0638,0.1276,0.0851,1.4642,0.702,24.1332,18.3507,0.2127,29.5,39.52,0.167220071
United Republic Of Tanzania,Africa,1.5442,4.214,0.4558,0.2698,0,2.5023,0,8.3628,1.0233,0.1302,0.7163,0.0279,0.3628,42.4093,27.0605,0.2419,7.1,10.6791,3.52E-05
United States Of America,North America,3.3013,1.2829,0.3887,0.4426,0,6.8359,0.009,1.7464,0.0449,0.0867,0.0478,0.3977,0.942,28.797,23.6117,0.1944,37.3,31.8711,0.140103008
Uruguay,South America,3.4811,2.5698,0.3281,0.1777,0.0456,8.0603,0.0729,1.5127,0.0729,0.0319,0.1002,0.7564,0.1367,24.4908,18.8819,0.2096,28.9,39.0714,0.013622203
Uzbekistan,Asia,2.4884,2.7168,0.0962,0.583,0.012,11.805,0.1743,0.3366,0,0.018,0.0902,0.1683,0.7754,24.0067,18.4589,0.8535,15.3,37.4166,0.001817171
Vanuatu,Oceania,1.9531,4.1249,1.4343,0.3052,0.0254,1.1495,0.0966,23.1779,0,0.1068,0.4578,0.2187,0.0356,35.0847,6.4849,0.1424,23.5,25.2022,0
Venezuela Bolivarian Republic Of,South America,2.2673,2.5449,0.5707,0.964,0.0077,5.5217,0.2082,0.1003,0.1157,0,0.1311,0.0848,0.0154,33.6855,29.5211,0.1851,25.2,24.0765,0.004286961
Vietnam,Asia,3.8238,3.7155,1.1217,0.4079,0.0064,0.752,0.3378,4.2891,0.0765,0.6309,0.0701,0.0829,1.1726,16.7548,5.6211,0.6373,2.1,60.4615,3.64E-05
Yemen,Asia,2.0131,11.5271,0.3847,0.2564,0.0256,1.3463,0.2436,0.7565,0.5001,0.1026,0.0513,0.3718,0.0769,37.4535,23.6312,0.1667,14.1,21.0925,0.002061959
Zambia,Africa,1.6113,14.3225,1.007,0.1343,0.0224,1.2756,0.179,9.8915,0.0783,0.1567,0.2014,0.0671,0.0112,40.3939,15.2848,0.1567,6.5,15.1281,0.004563751
Zimbabwe,Africa,2.9543,9.7922,0.2455,0.0614,0.0175,2.104,0.1315,1.9462,0.114,0.0526,0.0877,0.1052,0.4296,39.6248,26.9396,0.0789,12.3,15.3152,0.008854202
